bid,shelfmark,all_shelfmarks,title,responsibility,place,date,year,lang,possessor_field_Eco
BVEE042124,ECO.01.0776,ECO.01.0776,\1!,,,,1608,lat,yes
BVEE042125,ECO.01.0776,ECO.01.0776,"\2!: Clauis steganographiae Ioannis Trithemii abbatis Spanheimensis. Ad serenissimum principem Dn. Philippum, comitem Palatinum Rheni, ...",,\Francoforte s. M.!,1608,1608,lat,yes
BVEE033583,ECO.01.0722/4,ECO.01.0722/4,"Schenckelius detectus: seu, Memoria artificialis hactenus occultata, ac amultis quam diu desiderata: nunc primum in gratiam optimarum artium, ac sapie",,Lugduni,1617,1617,lat,yes
BVEE035913,ECO.01.0934,ECO.01.0934,"De secretis libri 17. Ex variis authoribus collecti, methodiceque, digesti, & aucti per Joan. Jacobum Weckerum, ... Accessit index locupletissimus",,Basileae,1642,1642,lat,yes
BVEE039750,ECO.01.0727,ECO.01.0727,"\1!: Gazophylacium artis memoriae, in quo duobus libris omnia & singula ea, quae ad absolutam hujus cognitionem inserviunt, recondita habentur. I. De ",,,1678,1678,lat,yes
RMS2665389,ECO.02.0108,ECO.02.0108,Arcana coelestia,by Emanuel Swedenborg,London,1889-1926,1889,eng,
RMS2665401,ECO.02.0108,ECO.02.0108,"1: Genesis, chapter 1. to chapter 9.",,London,1926,1926,eng,yes
RMS2665445,ECO.02.0108,ECO.02.0108,"7: Genesis, chapter 39. to chapter 43.",,London,1889,1889,eng,yes
RMS2665468,ECO.02.0108,ECO.02.0108,"9: Exodus, chapter 1. to chapter 12.",,London,1895,1895,eng,yes
RMS2665474,ECO.02.0108,ECO.02.0108,"10: Exodus, chapter 13. to chapter 21.",,London,1893,1893,eng,yes
BVEE031071,ECO.02.0154/3,ECO.02.0154/3,La pudicitia schernita di Ferrante Pallauicino,,In Venetia,[1638?],1638,ita,
BVEE032772,ECO.01.0342,ECO.01.0342,"Philosophia pura, qua non solum vera materia, verusque processus lapidis philosophici multò apertiùs, quàm hactenùs ab ullo philosophorum, proponitur;",,Francofurti,1619,1619,lat,yes
BVEE033148,ECO.01.0445,ECO.01.0445,"Symbola aureae mensae duodecim nationum. Hoc est, Hermeae seu Mercurii festa ab heroibus duodenu selectu, artis chymicae vsu, sapientia & authoritate ",,Francofurti: typis Antonij Hummij,1617,1617,lat,yes
BVEE033584,ECO.01.0722/3,ECO.01.0722/3,"Vita M. Tullii Ciceronis in annos distincta, ac in epitomen secundum artem mnemonicam redacta. A D. I. Paëpp Galbaico. Cui adiuncti sunt catalogi pont",,Lugduni,1618,1618,lat,yes
BVEE033585,ECO.01.0722/1,ECO.01.0722/1,"Artificiosae memoriae fundamenta, ex Aristotele, Cicerone, Thoma Aquinate, ... petita, figuris, interrogationibus, ac responsionibus clarius quam vnqu",,Lugduni,1619,1619,lat,yes
BVEE036882,ECO.01.0914,ECO.01.0914,"In astrologos coniectores libri quinque auctore Alexandro de Angelis, in Collegio Romano Societatis Iesu, studiorum praefecto. Secundo prodeunt ab auc",,Romae,1615,1615,lat,yes
BVEE041847,ECO.01.0945/03,ECO.01.0945/03,"Oswaldi Crollii Tractatus, de signaturis internis rerum, seu de vera & viua anatomia maioris & minoris mundi",,,,1643,lat,yes
BVEE027553,ECO.01.0754,ECO.01.0754,"Iul. Pacii Artis Lullianae emendatae libri 4. Quibus docetur methodus, ... ad inueniendum sermonem de quacunque re, ...",,Valentiae,1618,1618,lat,
RMS2489917,ECO.04.0067,ECO.04.0067,4: L'antichità. Grecia,a cura di Umberto Eco,Milano,2011,2011,ita,
BVEE034275,ECO.01.0011/02,ECO.01.0011/02,Della fisonomia di tutto il corpo humano del s. Gio. Battista Della PortaAcc. Linceo libri quattro ne'quali si tratta di quanto intorno a questa mater,,In Roma,1637,1637,ita,
BVEE034791,ECO.01.0650,ECO.01.0650,"Passiones animae per Renatum Des Cartes: Gallicè ab ipso conscriptae, nunc autem in exterorum gratiam Latina civitate donatae ab H.D.M. I.V.L",,Amstelodami,1650,1650,lat,yes
BVEE035258,ECO.01.0743/3,ECO.01.0743/3,"De memoria artificiosa libellus, auctore Iohanne Austriaco. Omnibus cuiuscunque status aut conditionis hominibus, praecipuè verò literarum studiosis, ",,Francofurti,1603,1603,lat,yes
BVEE013487,ECO.01.0733/2,ECO.01.0733/2,"Orus Apollo Niliacus de hieroglyphicis notis, à Bernardino Trebatio Vicentino latinitate donatus",,Venetijs,1538,1538,lat,yes
BVEE002262,ECO.01.0764,ECO.01.0764,"Raimundi Lulii ... De secretis naturae siue Quinta essentia libri duo. His accesserunt, Alberti Magni summi philosophi, De mineralibus & rebus metalli",,Venetijs,1542,1542,lat,yes
BVEE002309,ECO.01.0010,ECO.01.0010,"Io. Bapt. Portae Neapolitani Magiae naturalis libri 20. Ab ipso authore expurgati, superaucti, in quibus scientiarum naturalium diuitiae, & delitiaede",,Neapoli,1589,1589,lat,yes
LO11178516,ECO.01.0821,ECO.01.0821,Divina Commedia,Dante Alighieri,Gorle,2000,2000,ita,
LO11178533,ECO.01.0821,ECO.01.0821,[1!: Divina Commedia,Dante Alighieri,Gorle,2000,2000,ita,yes
BVEE004879,ECO.01.0717,ECO.01.0717,Practica compendiosa artis Raymundi Lul. Explanatio compendiosaque applicatio artis illuminati doctoris magistri Raymundi Lull. ad omnes facultates: p,,,1523,1523,lat,yes
UBO3172879,ECO.01.0482/05,ECO.01.0482/05,Legature povere ma ricche,Giuseppe Solmi studio bibliografico,Ozzano dell'Emilia,[2007?],2007,ita,yes
BVEE007771,ECO.01.0855,ECO.01.0855,"Coelum philosophorum, seu Liber de secretis naturae, per Philippum Vlstadium exvariis autoribus accuratè selectus, variisque figuris illustratus. Nunc",,Lugduni,1557,1557,lat,yes
CAG0603550,ECO.02.0099,ECO.02.0099,2,par Hoene  Wronski,Paris,1847,1847,fre,yes
CAG0603553,ECO.02.0099,ECO.02.0099,3: Resolution generale des equations algebriques de tous les degres; precedee du manifeste historique concernant l'actuelle reforme du savoir humain,par Hoene Wronski,Paris,1847,1847,fre,yes
CAG0603546,ECO.02.0099,ECO.02.0099,"Messianisme, ou reforme absolute du savoir humain; nommement",par Hoene Wronski,Paris,1847,1847,fre,
LO11359220,ECO.04.0080,ECO.04.0080,Costruire il nemico e altri scritti occasionali,Umberto Eco,Milano,2011,2011,ita,
BVEE111398,ECO.01.0696,ECO.01.0696,"De arte rhetorica libri quinque lectissimis veterum auctorum ætatis aureæ, perpetuisque exemplis illustrati; auctore Dominico Decolonia [sic]. Accesse",,Bassani,1795,1795,lat,
RMSE000333,ECO.01.1003,ECO.01.1003,"Th. Burnetii Telluris theoria sacra, originem & mutationes generale orbis nostri, quas aut jam subiit, aut olim subiturus est, complectens. Accedunt a",,Amstelaedami,1699,1699,lat,yes
CAG0068176,ECO.01.0482/04,ECO.01.0482/04,Il libro nel terzo millennio,a cura di Mario Scognamiglio,Milano,2000,2000,ita,yes
RMSE007659,ECO.01.0812,ECO.01.0812,1,,,,1734,lat,yes
RMSE008421,ECO.01.0437,ECO.01.0437,"F. Thomae Campanellæ Calabri Ordin. Praedic. Astrologicorum Libri 7. In quibus astrologia, omni superstitione Arabum, & Judæorum eliminata, physiologi",,Francofurti,1630,1630,lat,yes
RMSE008434,ECO.02.0156,ECO.02.0156,Dissertazione apologetica sul martirio del beato Simone da Trento nell'anno 1475. dagli ebrei ucciso,,In Trento,1747,1747,ita,yes
BVEE111239,ECO.01.0973/03,ECO.01.0973/03,"Roberti Boyle ... Tractatus De cosmicis rerum qualitatibus, [De] cosmicis suspicionibus, [De] temperie subterranearum regionum, [De] fundo maris. Quib",,Amstelodami,1671,1671,lat,yes
RMSE004330,ECO.01.0993,ECO.01.0993,"Decouvertes des francois, en 1768 & 1769, dans le sud-est de la Nouvelle Guinee. ...precedees de l'abrege historique des navigations & des decouvertes",,A Paris,1790,1790,fre,yes
RMSE007658,ECO.01.0812,ECO.01.0812,"Dictionarium historicum, criticum, chronologicum, geographicum, et literale Sacrae Scripturae, cum figuris antiquitates Judaicas repraesentantibus aut",,Venetiis,1734,1734,lat,
RMSE007660,ECO.01.0812,ECO.01.0812,2,,,,1734,lat,yes
RMSE008847,ECO.01.0499,ECO.01.0499,Opuscoli metafisici di Francesco Soave Ch. Reg. Som. regio professore,,Pisa,1814,1814,ita,yes
RMSE008979,ECO.01.0460,ECO.01.0460,<1>: Parite de la vie et de la mort. Dieu nous a donne l'opinion & s'est reserve la science,,,<1771>,1771,fre,yes
RMSE096298,ECO.01.0359,ECO.01.0359,"La langue hébraique restituée, et le véritable sens des mots hébreux rétabli et prouvé par leur analyse radicale. Ouvrage dans lequel on trouve réunis",,A Paris,1815-1816,1815,fre,
CAGE048645,ECO.02.0106,ECO.02.0106,"L'apocalypse révélée, dans laquelle sont découverts les mystères qui y sont prédits, et qui ont été cachés jusqu'a présent ; par Emmanuel Swedenborg .",,A Paris,1823,1823,fre,
UBO4830877,ECO.04.0099,ECO.04.0099,Volume 1 di 2,,Bologna,2023,2023,ita,
CAGE005409,ECO.01.0956,ECO.01.0956,3,,,,1742,fre,yes
CAG1809103,ECO.04.0061,ECO.04.0061,"[2]: Cattedrali, cavalieri, città",,Milano,©2011,2011,ita,
RT1E006013,ECO.01.0471,ECO.01.0471,"Les raisons des forces mouuantes, auec diuerses machines tant vtiles que plaisantes: auquelles sont adjoints plusieurs desseins de grotes & fontaines.",,A Paris,1624,1624,fre,
MIL0918309,ECO.01.1024,ECO.01.1024,Almanach de Gotha,,Gotha,[1868?],1868,ita,yes
CAGE048647,ECO.02.0106,ECO.02.0106,Tome 1,,,,1823,fre,yes
CAGE048649,ECO.02.0106,ECO.02.0106,Tome 2,,,,1823,fre,yes
UBO4830874,ECO.04.0099,ECO.04.0099,Il nome della rosa,"Manara, Eco",Bologna,2023-,2023,ita,
UBO4911438,ECO.04.0101,ECO.04.0101,L'isola del giorno prima,Umberto Eco,[Milano],2025,2025,ita,
LO11439867,ECO.02.0026,ECO.02.0026,Conjuration des Jésuites,par l'abbé Leone,Paris,1848,1848,fre,yes
CAGE005402,ECO.01.0956,ECO.01.0956,"Histoire de la philosophie hermetique. Accompagnée d'un catalogue raisonné des ecrivains de cette science. Avec le Véritable Philalethe, revû sur les ",,A Paris,1742,1742,fre,
CAGE005403,ECO.01.0956,ECO.01.0956,1,,,,1742,fre,yes
CAGE005408,ECO.01.0956,ECO.01.0956,2,,,,1742,fre,yes
RMSE006703,ECO.01.0676/01,ECO.01.0676/01,1,,,,1605,grc,yes
RMSE008957,ECO.01.0645,ECO.01.0645,"Cymbalum mundi, ou Dialogues satyriques sur differens sujets, par Bonaventure des Periers. Avec une lettre critique dans laquelle on fait l'histoire, ",,A Amsterdam,1732,1732,fre,yes
